Cocktail,Glass,Method,Garnish,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8
Bloody Mary,Highball,Build,"Celery Stick, Lemon Wedge & Crack Black Pepper",50ml Ketel One Vodka,250ml Big Tom,,,,,,
Espresso Martini,Coupe,Shake,3 Coffee Beans,25ml Ketel One Vodka,25ml Riviera Coffee Liqueur,50ml Espresso,12.5ml Funkin Sugar Syrup,,,,
Old Fashioned,Rocks,Stir,1 Orange Twist,62.5ml Bulliet Bourbon,12.5ml Funkin Sugar Syrup,2 Dashes Angostura Bitters,,,,,
Pornstar Martini,Coupe & Shot,Shake,25ml Bottega Poeti Prosecco,25ml Smirnoff Vanilla Vodka,12.5ml Blend Passion Fruit Liqueur,12.5ml Funkin Passion Fruit Syrup,50ml Pineapple Juice,25ml Funkin Passion Fruit Puree,,,
Cosmopolitan,Coupe,Shake,1 Orange Coin,25ml Ketel One Citroen Vodka,25ml Riviera Triple Sec Liqueur,12.5ml Lime Juice,37.5ml Cranberry Juice,,,,
French Martini,Coupe,Shake,None,25ml Ketel One Vodka,25ml Chambord,50ml Pineapple Juice,,,,,
Long Island Iced Tea,Highball,Build,1 Lemon Wedge,10ml Ketel One Vodka,10ml Ron Santiago de Cuba Blanca Rum,10ml Tanqueray London Dry Gin,10ml Riviera Triple Sec Liqueur,10ml Casamigos Blanco Tequila,25ml Funkin Sugar Syrup,25ml Lemon Juice,100ml Coke Zero
Margarita,Coupe/Rocks,Shake,"1/2 Salt Rim, 1 Lime Wedge",37.5ml Casamigos Blanco Tequila,25ml Riviera Triple Sec Liqueur,25ml Lime Juice,12.5ml Funkin Sugar Syrup,,,,
Negroni,Rocks,Build,1 Orange Slice,25ml Tanqueray London Dry Gin,25ml Regal Rogue Bold Red Vermouth,25ml Campari,,,,,
Sex On The Beach,Highball,Build,1 Orange Slice,25ml Ketel One Vodka,25ml Archers Peach Schnapps,75ml Orange Juice,75ml Cranberry Juice,,,,
